"produto_id","nome_produto","categoria_produto","preco_produto","fornecedor_id","nome_fornecedor","endereco_fornecedor","telefone_fornecedor","loja_id","nome_loja","endereco_loja","cidade_loja","quantidade_estoque","data_estoque"
41,"Produto 41","Categoria 2",410.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",41,"2023-05-18"
42,"Produto 42","Categoria 3",420.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",42,"2023-05-17"
43,"Produto 43","Categoria 4",430.0,14,"Fornecedor 14","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",43,"2023-05-16"
44,"Produto 44","Categoria 5",440.0,15,"Fornecedor 15","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",44,"2023-05-15"
45,"Produto 45","Categoria 1",450.0,16,"Fornecedor 16","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",45,"2023-05-14"
46,"Produto 46","Categoria 2",460.0,17,"Fornecedor 17","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",46,"2023-05-13"
47,"Produto 47","Categoria 3",470.0,18,"Fornecedor 18","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",47,"2023-05-12"
48,"Produto 48","Categoria 4",480.0,19,"Fornecedor 19","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",48,"2023-05-11"
49,"Produto 49","Categoria 5",490.0,20,"Fornecedor 20","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",49,"2023-05-10"
50,"Produto 50","Categoria 1",500.0,21,"Fornecedor 21","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",0,"2023-05-09"
51,"Produto 51","Categoria 2",510.0,22,"Fornecedor 22","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",1,"2023-05-08"
52,"Produto 52","Categoria 3",520.0,23,"Fornecedor 23","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",2,"2023-05-07"
53,"Produto 53","Categoria 4",530.0,24,"Fornecedor 24","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",3,"2023-05-06"
54,"Produto 54","Categoria 5",540.0,25,"Fornecedor 25","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",4,"2023-05-05"
55,"Produto 55","Categoria 1",550.0,26,"Fornecedor 26","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",5,"2023-05-04"
56,"Produto 56","Categoria 2",560.0,27,"Fornecedor 27","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",6,"2023-05-03"
57,"Produto 57","Categoria 3",570.0,28,"Fornecedor 28","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",7,"2023-05-02"
58,"Produto 58","Categoria 4",580.0,29,"Fornecedor 29","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",8,"2023-05-01"
59,"Produto 59","Categoria 5",590.0,30,"Fornecedor 30","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",9,"2023-04-30"
60,"Produto 60","Categoria 1",600.0,1,"Fornecedor 1","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",10,"2023-04-29"
61,"Produto 61","Categoria 2",610.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",11,"2023-04-28"
62,"Produto 62","Categoria 3",620.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",12,"2023-04-27"
63,"Produto 63","Categoria 4",630.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",13,"2023-04-26"
64,"Produto 64","Categoria 5",640.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",14,"2023-04-25"
65,"Produto 65","Categoria 1",650.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",15,"2023-04-24"
66,"Produto 66","Categoria 2",660.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",16,"2023-04-23"
67,"Produto 67","Categoria 3",670.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",17,"2023-04-22"
68,"Produto 68","Categoria 4",680.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",18,"2023-04-21"
69,"Produto 69","Categoria 5",690.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",19,"2023-04-20"
70,"Produto 70","Categoria 1",700.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",20,"2023-04-19"
71,"Produto 71","Categoria 2",710.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",21,"2023-04-18"
72,"Produto 72","Categoria 3",720.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",22,"2023-04-17"
73,"Produto 73","Categoria 4",730.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",23,"2023-04-16"
74,"Produto 74","Categoria 5",740.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",24,"2023-04-15"
75,"Produto 75","Categoria 1",750.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",25,"2023-04-14"
76,"Produto 76","Categoria 2",760.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",26,"2023-04-13"
77,"Produto 77","Categoria 3",770.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",27,"2023-04-12"
78,"Produto 78","Categoria 4",780.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",28,"2023-04-11"
79,"Produto 79","Categoria 5",790.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",29,"2023-04-10"
80,"Produto 80","Categoria 1",800.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",30,"2023-04-09"
81,"Produto 81","Categoria 2",810.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",31,"2023-04-08"
82,"Produto 82","Categoria 3",820.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",32,"2023-04-07"
83,"Produto 83","Categoria 4",830.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",33,"2023-04-06"
84,"Produto 84","Categoria 5",840.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",34,"2023-04-05"
85,"Produto 85","Categoria 1",850.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",35,"2023-04-04"
86,"Produto 86","Categoria 2",860.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",36,"2023-04-03"
87,"Produto 87","Categoria 3",870.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",37,"2023-04-02"
88,"Produto 88","Categoria 4",880.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",38,"2023-04-01"
89,"Produto 89","Categoria 5",890.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",39,"2023-03-31"
90,"Produto 90","Categoria 1",900.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",40,"2023-03-30"
91,"Produto 91","Categoria 2",910.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",41,"2023-03-29"
92,"Produto 92","Categoria 3",920.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",42,"2023-03-28"
93,"Produto 93","Categoria 4",930.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",43,"2023-03-27"
94,"Produto 94","Categoria 5",940.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",44,"2023-03-26"
95,"Produto 95","Categoria 1",950.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",45,"2023-03-25"
96,"Produto 96","Categoria 2",960.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",46,"2023-03-24"
97,"Produto 97","Categoria 3",970.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",47,"2023-03-23"
98,"Produto 98","Categoria 4",980.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",48,"2023-03-22"
99,"Produto 99","Categoria 5",990.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",49,"2023-03-21"
100,"Produto 100","Categoria 1",1000.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",0,"2023-03-20"
101,"Produto 101","Categoria 2",1010.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",1,"2023-03-19"
102,"Produto 102","Categoria 3",1020.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",2,"2023-03-18"
103,"Produto 103","Categoria 4",1030.0,14,"Fornecedor 14","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",3,"2023-03-17"
104,"Produto 104","Categoria 5",1040.0,15,"Fornecedor 15","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",4,"2023-03-16"
105,"Produto 105","Categoria 1",1050.0,16,"Fornecedor 16","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",5,"2023-03-15"
106,"Produto 106","Categoria 2",1060.0,17,"Fornecedor 17","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",6,"2023-03-14"
107,"Produto 107","Categoria 3",1070.0,18,"Fornecedor 18","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",7,"2023-03-13"
108,"Produto 108","Categoria 4",1080.0,19,"Fornecedor 19","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",8,"2023-03-12"
109,"Produto 109","Categoria 5",1090.0,20,"Fornecedor 20","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",9,"2023-03-11"
110,"Produto 110","Categoria 1",1100.0,21,"Fornecedor 21","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",10,"2023-03-10"
111,"Produto 111","Categoria 2",1110.0,22,"Fornecedor 22","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",11,"2023-03-09"
112,"Produto 112","Categoria 3",1120.0,23,"Fornecedor 23","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",12,"2023-03-08"
113,"Produto 113","Categoria 4",1130.0,24,"Fornecedor 24","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",13,"2023-03-07"
114,"Produto 114","Categoria 5",1140.0,25,"Fornecedor 25","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",14,"2023-03-06"
115,"Produto 115","Categoria 1",1150.0,26,"Fornecedor 26","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",15,"2023-03-05"
116,"Produto 116","Categoria 2",1160.0,27,"Fornecedor 27","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",16,"2023-03-04"
117,"Produto 117","Categoria 3",1170.0,28,"Fornecedor 28","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",17,"2023-03-03"
118,"Produto 118","Categoria 4",1180.0,29,"Fornecedor 29","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",18,"2023-03-02"
119,"Produto 119","Categoria 5",1190.0,30,"Fornecedor 30","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",19,"2023-03-01"
120,"Produto 120","Categoria 1",1200.0,1,"Fornecedor 1","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",20,"2023-02-28"
121,"Produto 121","Categoria 2",1210.0,2,"Fornecedor 2","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",21,"2023-02-27"
122,"Produto 122","Categoria 3",1220.0,3,"Fornecedor 3","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",22,"2023-02-26"
123,"Produto 123","Categoria 4",1230.0,4,"Fornecedor 4","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",23,"2023-02-25"
124,"Produto 124","Categoria 5",1240.0,5,"Fornecedor 5","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",24,"2023-02-24"
125,"Produto 125","Categoria 1",1250.0,6,"Fornecedor 6","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",25,"2023-02-23"
126,"Produto 126","Categoria 2",1260.0,7,"Fornecedor 7","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",26,"2023-02-22"
127,"Produto 127","Categoria 3",1270.0,8,"Fornecedor 8","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",27,"2023-02-21"
128,"Produto 128","Categoria 4",1280.0,9,"Fornecedor 9","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",28,"2023-02-20"
129,"Produto 129","Categoria 5",1290.0,10,"Fornecedor 10","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",29,"2023-02-19"
130,"Produto 130","Categoria 1",1300.0,11,"Fornecedor 11","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",30,"2023-02-18"
131,"Produto 131","Categoria 2",1310.0,12,"Fornecedor 12","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",31,"2023-02-17"
132,"Produto 132","Categoria 3",1320.0,13,"Fornecedor 13","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",32,"2023-02-16"
133,"Produto 133","Categoria 4",1330.0,14,"Fornecedor 14","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",33,"2023-02-15"
134,"Produto 134","Categoria 5",1340.0,15,"Fornecedor 15","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",34,"2023-02-14"
135,"Produto 135","Categoria 1",1350.0,16,"Fornecedor 16","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",35,"2023-02-13"
136,"Produto 136","Categoria 2",1360.0,17,"Fornecedor 17","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",36,"2023-02-12"
137,"Produto 137","Categoria 3",1370.0,18,"Fornecedor 18","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",37,"2023-02-11"
138,"Produto 138","Categoria 4",1380.0,19,"Fornecedor 19","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",38,"2023-02-10"
139,"Produto 139","Categoria 5",1390.0,20,"Fornecedor 20","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",39,"2023-02-09"
140,"Produto 140","Categoria 1",1400.0,21,"Fornecedor 21","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",40,"2023-02-08"
141,"Produto 141","Categoria 2",1410.0,22,"Fornecedor 22","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",41,"2023-02-07"
142,"Produto 142","Categoria 3",1420.0,23,"Fornecedor 23","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",42,"2023-02-06"
143,"Produto 143","Categoria 4",1430.0,24,"Fornecedor 24","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",43,"2023-02-05"
144,"Produto 144","Categoria 5",1440.0,25,"Fornecedor 25","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",44,"2023-02-04"
145,"Produto 145","Categoria 1",1450.0,26,"Fornecedor 26","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",45,"2023-02-03"
146,"Produto 146","Categoria 2",1460.0,27,"Fornecedor 27","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",46,"2023-02-02"
147,"Produto 147","Categoria 3",1470.0,28,"Fornecedor 28","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",47,"2023-02-01"
148,"Produto 148","Categoria 4",1480.0,29,"Fornecedor 29","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",48,"2023-01-31"
149,"Produto 149","Categoria 5",1490.0,30,"Fornecedor 30","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",49,"2023-01-30"
150,"Produto 150","Categoria 1",1500.0,1,"Fornecedor 1","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",0,"2023-01-29"
151,"Produto 151","Categoria 2",1510.0,2,"Fornecedor 2","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",1,"2023-01-28"
152,"Produto 152","Categoria 3",1520.0,3,"Fornecedor 3","Endereço 3","Telefone 3",1,"Loja 1","Endereço 1","Cidade 1",2,"2023-01-27"
153,"Produto 153","Categoria 4",1530.0,4,"Fornecedor 4","Endereço 4","Telefone 4",2,"Loja 2","Endereço 2","Cidade 2",3,"2023-01-26"
154,"Produto 154","Categoria 5",1540.0,5,"Fornecedor 5","Endereço 5","Telefone 5",3,"Loja 3","Endereço 3","Cidade 3",4,"2023-01-25"
155,"Produto 155","Categoria 1",1550.0,6,"Fornecedor 6","Endereço 6","Telefone 6",4,"Loja 4","Endereço 4","Cidade 4",5,"2023-01-24"
156,"Produto 156","Categoria 2",1560.0,7,"Fornecedor 7","Endereço 7","Telefone 7",1,"Loja 1","Endereço 1","Cidade 1",6,"2023-01-23"
157,"Produto 157","Categoria 3",1570.0,8,"Fornecedor 8","Endereço 8","Telefone 8",2,"Loja 2","Endereço 2","Cidade 2",7,"2023-01-22"
158,"Produto 158","Categoria 4",1580.0,9,"Fornecedor 9","Endereço 9","Telefone 9",3,"Loja 3","Endereço 3","Cidade 3",8,"2023-01-21"
159,"Produto 159","Categoria 5",1590.0,10,"Fornecedor 10","Endereço 10","Telefone 10",4,"Loja 4","Endereço 4","Cidade 4",9,"2023-01-20"
160,"Produto 160","Categoria 1",1600.0,11,"Fornecedor 11","Endereço 1","Telefone 1",1,"Loja 1","Endereço 1","Cidade 1",10,"2023-01-19"
161,"Produto 161","Categoria 2",1610.0,12,"Fornecedor 12","Endereço 2","Telefone 2",2,"Loja 2","Endereço 2","Cidade 2",11,"2023-01-18"
162,"Produto 162","Categoria 3",1620.0,13,"Fornecedor 13","Endereço 3","Telefone 3",3,"Loja 3","Endereço 3","Cidade 3",12,"2023-01-17"
163,"Produto 163","Categoria 4",1630.0,14,"Fornecedor 14","Endereço 4","Telefone 4",4,"Loja 4","Endereço 4","Cidade 4",13,"2023-01-16"
164,"Produto 164","Categoria 5",1640.0,15,"Fornecedor 15","Endereço 5","Telefone 5",1,"Loja 1","Endereço 1","Cidade 1",14,"2023-01-15"
165,"Produto 165","Categoria 1",1650.0,16,"Fornecedor 16","Endereço 6","Telefone 6",2,"Loja 2","Endereço 2","Cidade 2",15,"2023-01-14"
166,"Produto 166","Categoria 2",1660.0,17,"Fornecedor 17","Endereço 7","Telefone 7",3,"Loja 3","Endereço 3","Cidade 3",16,"2023-01-13"
167,"Produto 167","Categoria 3",1670.0,18,"Fornecedor 18","Endereço 8","Telefone 8",4,"Loja 4","Endereço 4","Cidade 4",17,"2023-01-12"
168,"Produto 168","Categoria 4",1680.0,19,"Fornecedor 19","Endereço 9","Telefone 9",1,"Loja 1","Endereço 1","Cidade 1",18,"2023-01-11"
169,"Produto 169","Categoria 5",1690.0,20,"Fornecedor 20","Endereço 10","Telefone 10",2,"Loja 2","Endereço 2","Cidade 2",19,"2023-01-10"
170,"Produto 170","Categoria 1",1700.0,21,"Fornecedor 21","Endereço 1","Telefone 1",3,"Loja 3","Endereço 3","Cidade 3",20,"2023-01-09"
171,"Produto 171","Categoria 2",1710.0,22,"Fornecedor 22","Endereço 2","Telefone 2",4,"Loja 4","Endereço 4","Cidade 4",21,"2023-01-08"
